,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
98,98,,18567.299,-175.02013,6.4830675,18567.299    -175.02013  =>  6.4830675,,
99,99,,18592.738,-177.0399,6.4087253,18592.738   -177.0399  =>  6.4087253,,
100,100,,18623.781,-177.37013,4.087446,18623.781    -177.37013  =>  4.087446,,
101,101,,18589.014,-206.44545,6.4155154,18589.014    -206.44545  =>  6.4155154,,
102,102,,18600.623,-206.22824,6.3817544,18600.623    -206.22824  =>  6.3817544,,
103,103,,18613.637,-206.52594,6.3438263,18613.637    -206.52594  =>  6.3438263,,
104,104,,18629.062,-206.6408,6.299006,18629.062   -206.6408  =>  6.299006,,
105,105,,18646.984,-206.74673,6.2474303,18646.984    -206.74673  =>  6.2474303,,
106,106,,18667.146,-207.35124,4.14006,18667.146    -207.35124  =>  4.14006,,
107,107,,18641.283,-228.30826,6.262327,18641.283    -228.30826  =>  6.262327,,
108,108,,18648.758,-228.40784,6.241742,18648.758    -228.40784  =>  6.241742,,
109,109,,18657.596,-228.50388,6.222291,18657.596    -228.50388  =>  6.222291,,
110,110,,18667.611,-228.985,6.196279,18667.611  -228.985  =>  6.196279,,
111,111,,18678.893,-230.00504,4.1214075,18678.893    -230.00504  =>  4.1214075,,
112,112,,18662.562,-243.03505,6.2128754,18662.562    -243.03505  =>  6.2128754,,
113,113,,18666.64,-243.43388,6.198765,18666.64     -243.43388  =>  6.198765,,
